DocumentID,Status,TargetLibrary,StorageURL
RAE-00156,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00156.docx
RAE-00157,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00157.docx
RAE-00162,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00162.docx
RAE-00163,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00163.docx
RAE-00164,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00164.docx
RAE-00165,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00165.docx
RAE-00166,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00166.docx
RAE-00167,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00167.docx
RAE-00168,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00168.docx
RAE-00169,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00169.docx
RAE-00170,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00170.docx
RAE-00171,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00171.docx
RAE-00172,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00172.docx
RAE-00173,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00173.pdf
RAE-00174,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00174.pdf
RAE-00175,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00175.pdf
RAE-00176,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00176.pdf
RAE-00177,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00177.pptx
RAE-00178,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00178.pdf
RAE-00179,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00179.pdf
RAE-00180,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00180.pdf
RAE-00181,COMPLETE,AcademicServices,/sites/msteams_54adc4/AcademicServices/RAE-00181.pdf
RAE-00182,COMPLETE,Research,/sites/msteams_54adc4/Research/RAE-00182.pdf
